# Chunk-averaged data for fix avegroupN and group groupN
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
2000000 1748 0
  178 3.55 0 0
  179 3.57 0 0
  180 3.59 0 0
  181 3.61 0 0
  182 3.63 0 0
  183 3.65 0 0
  184 3.67 0 0
  185 3.69 0 0
  186 3.71 0 0
  187 3.73 0 0
  188 3.75 0 0
  189 3.77 0 0
  190 3.79 0 0
  191 3.81 0 0
  192 3.83 0 0
  193 3.85 0 0
  194 3.87 0 0
  195 3.89 0 0
  196 3.91 0 0
  197 3.93 0 0
  198 3.95 0 0
  199 3.97 0 0
  200 3.99 0 0
  201 4.01 0 0
  202 4.03 0 0
  203 4.05 0 0
  204 4.07 0 0
  205 4.09 0 0
  206 4.11 0 0
  207 4.13 0 0
  208 4.15 0 0
  209 4.17 0 0
  210 4.19 0 0
  211 4.21 0 0
  212 4.23 0 0
  213 4.25 0 0
  214 4.27 0 0
  215 4.29 0 0
  216 4.31 0 0
  217 4.33 0 0
  218 4.35 0 0
  219 4.37 0 0
  220 4.39 0 0
  221 4.41 0 0
  222 4.43 0 0
  223 4.45 0 0
  224 4.47 0 0
  225 4.49 0 0
  226 4.51 0 0
  227 4.53 0 0
  228 4.55 0 0
  229 4.57 0 0
  230 4.59 0 0
  231 4.61 0 0
  232 4.63 0 0
  233 4.65 0 0
  234 4.67 0 0
  235 4.69 0 0
  236 4.71 0 0
  237 4.73 0 0
  238 4.75 0 0
  239 4.77 0 0
  240 4.79 0 0
  241 4.81 0 0
  242 4.83 0 0
  243 4.85 0 0
  244 4.87 0 0
  245 4.89 0 0
  246 4.91 0 0
  247 4.93 0 0
  248 4.95 0 0
  249 4.97 0 0
  250 4.99 0 0
  251 5.01 0 0
  252 5.03 0 0
  253 5.05 0 0
  254 5.07 0 0
  255 5.09 0 0
  256 5.11 0 0
  257 5.13 0 0
  258 5.15 0 0
  259 5.17 0 0
  260 5.19 0 0
  261 5.21 0 0
  262 5.23 0 0
  263 5.25 0 0
  264 5.27 0 0
  265 5.29 0 0
  266 5.31 0 0
  267 5.33 0 0
  268 5.35 0 0
  269 5.37 0 0
  270 5.39 0 0
  271 5.41 0 0
  272 5.43 0 0
  273 5.45 0 0
  274 5.47 0 0
  275 5.49 0 0
  276 5.51 0 0
  277 5.53 0 0
  278 5.55 0 0
  279 5.57 0 0
  280 5.59 0 0
  281 5.61 0 0
  282 5.63 0 0
  283 5.65 0 0
  284 5.67 0 0
  285 5.69 0 0
  286 5.71 0 0
  287 5.73 0 0
  288 5.75 0 0
  289 5.77 0 0
  290 5.79 0 0
  291 5.81 0 0
  292 5.83 0 0
  293 5.85 0 0
  294 5.87 0 0
  295 5.89 0 0
  296 5.91 0 0
  297 5.93 0 0
  298 5.95 0 0
  299 5.97 0 0
  300 5.99 0 0
  301 6.01 0 0
  302 6.03 0 0
  303 6.05 0 0
  304 6.07 0 0
  305 6.09 0 0
  306 6.11 0 0
  307 6.13 0 0
  308 6.15 0 0
  309 6.17 0 0
  310 6.19 0 0
  311 6.21 0 0
  312 6.23 0 0
  313 6.25 0 0
  314 6.27 0 0
  315 6.29 0 0
  316 6.31 0 0
  317 6.33 0 0
  318 6.35 0 0
  319 6.37 0 0
  320 6.39 0 0
  321 6.41 0 0
  322 6.43 0 0
  323 6.45 0 0
  324 6.47 0 0
  325 6.49 0 0
  326 6.51 0 0
  327 6.53 0 0
  328 6.55 0 0
  329 6.57 0 0
  330 6.59 0 0
  331 6.61 0 0
  332 6.63 0 0
  333 6.65 0 0
  334 6.67 0 0
  335 6.69 0 0
  336 6.71 0 0
  337 6.73 0 0
  338 6.75 0 0
  339 6.77 0 0
  340 6.79 0 0
  341 6.81 0 0
  342 6.83 0 0
  343 6.85 0 0
  344 6.87 0 0
  345 6.89 0 0
  346 6.91 0 0
  347 6.93 0 0
  348 6.95 0 0
  349 6.97 0 0
  350 6.99 0 0
  351 7.01 0 0
  352 7.03 0 0
  353 7.05 0 0
  354 7.07 0 0
  355 7.09 0 0
  356 7.11 0 0
  357 7.13 0 0
  358 7.15 0 0
  359 7.17 0 0
  360 7.19 0 0
  361 7.21 0 0
  362 7.23 0 0
  363 7.25 0 0
  364 7.27 0 0
  365 7.29 0 0
  366 7.31 0 0
  367 7.33 0 0
  368 7.35 0 0
  369 7.37 0 0
  370 7.39 0 0
  371 7.41 0 0
  372 7.43 0 0
  373 7.45 0 0
  374 7.47 0 0
  375 7.49 0 0
  376 7.51 0 0
  377 7.53 0 0
  378 7.55 0 0
  379 7.57 0 0
  380 7.59 0 0
  381 7.61 0 0
  382 7.63 0 0
  383 7.65 0 0
  384 7.67 0 0
  385 7.69 0 0
  386 7.71 0 0
  387 7.73 0 0
  388 7.75 0 0
  389 7.77 0 0
  390 7.79 0 0
  391 7.81 0 0
  392 7.83 0 0
  393 7.85 0 0
  394 7.87 0 0
  395 7.89 0 0
  396 7.91 0 0
  397 7.93 0 0
  398 7.95 0 0
  399 7.97 0 0
  400 7.99 0 0
  401 8.01 0 0
  402 8.03 0 0
  403 8.05 0 0
  404 8.07 0 0
  405 8.09 0 0
  406 8.11 0 0
  407 8.13 0 0
  408 8.15 0 0
  409 8.17 0 0
  410 8.19 0 0
  411 8.21 0 0
  412 8.23 0 0
  413 8.25 0 0
  414 8.27 0 0
  415 8.29 0 0
  416 8.31 0 0
  417 8.33 0 0
  418 8.35 0 0
  419 8.37 0 0
  420 8.39 0 0
  421 8.41 0 0
  422 8.43 0 0
  423 8.45 0 0
  424 8.47 0 0
  425 8.49 0 0
  426 8.51 0 0
  427 8.53 0 0
  428 8.55 0 0
  429 8.57 0 0
  430 8.59 0 0
  431 8.61 0 0
  432 8.63 0 0
  433 8.65 0 0
  434 8.67 0 0
  435 8.69 0 0
  436 8.71 0 0
  437 8.73 0 0
  438 8.75 0 0
  439 8.77 0 0
  440 8.79 0 0
  441 8.81 0 0
  442 8.83 0 0
  443 8.85 0 0
  444 8.87 0 0
  445 8.89 0 0
  446 8.91 0 0
  447 8.93 0 0
  448 8.95 0 0
  449 8.97 0 0
  450 8.99 0 0
  451 9.01 0 0
  452 9.03 0 0
  453 9.05 0 0
  454 9.07 0 0
  455 9.09 0 0
  456 9.11 0 0
  457 9.13 0 0
  458 9.15 0 0
  459 9.17 0 0
  460 9.19 0 0
  461 9.21 0 0
  462 9.23 0 0
  463 9.25 0 0
  464 9.27 0 0
  465 9.29 0 0
  466 9.31 0 0
  467 9.33 0 0
  468 9.35 0 0
  469 9.37 0 0
  470 9.39 0 0
  471 9.41 0 0
  472 9.43 0 0
  473 9.45 0 0
  474 9.47 0 0
  475 9.49 0 0
  476 9.51 0 0
  477 9.53 0 0
  478 9.55 0 0
  479 9.57 0 0
  480 9.59 0 0
  481 9.61 0 0
  482 9.63 0 0
  483 9.65 0 0
  484 9.67 0 0
  485 9.69 0 0
  486 9.71 0 0
  487 9.73 0 0
  488 9.75 0 0
  489 9.77 0 0
  490 9.79 0 0
  491 9.81 0 0
  492 9.83 0 0
  493 9.85 0 0
  494 9.87 0 0
  495 9.89 0 0
  496 9.91 0 0
  497 9.93 0 0
  498 9.95 0 0
  499 9.97 0 0
  500 9.99 0 0
  501 10.01 0 0
  502 10.03 0 0
  503 10.05 0 0
  504 10.07 0 0
  505 10.09 0 0
  506 10.11 0 0
  507 10.13 0 0
  508 10.15 0 0
  509 10.17 0 0
  510 10.19 0 0
  511 10.21 0 0
  512 10.23 0 0
  513 10.25 0 0
  514 10.27 0 0
  515 10.29 0 0
  516 10.31 0 0
  517 10.33 0 0
  518 10.35 0 0
  519 10.37 0 0
  520 10.39 0 0
  521 10.41 0 0
  522 10.43 0 0
  523 10.45 0 0
  524 10.47 0 0
  525 10.49 0 0
  526 10.51 0 0
  527 10.53 0 0
  528 10.55 0 0
  529 10.57 0 0
  530 10.59 0 0
  531 10.61 0 0
  532 10.63 0 0
  533 10.65 0 0
  534 10.67 0 0
  535 10.69 0 0
  536 10.71 0 0
  537 10.73 0 0
  538 10.75 0 0
  539 10.77 0 0
  540 10.79 0 0
  541 10.81 0 0
  542 10.83 0 0
  543 10.85 0 0
  544 10.87 0 0
  545 10.89 0 0
  546 10.91 0 0
  547 10.93 0 0
  548 10.95 0 0
  549 10.97 0 0
  550 10.99 0 0
  551 11.01 0 0
  552 11.03 0 0
  553 11.05 0 0
  554 11.07 0 0
  555 11.09 0 0
  556 11.11 0 0
  557 11.13 0 0
  558 11.15 0 0
  559 11.17 0 0
  560 11.19 0 0
  561 11.21 0 0
  562 11.23 0 0
  563 11.25 0 0
  564 11.27 0 0
  565 11.29 0 0
  566 11.31 0 0
  567 11.33 0 0
  568 11.35 0 0
  569 11.37 0 0
  570 11.39 0 0
  571 11.41 0 0
  572 11.43 0 0
  573 11.45 0 0
  574 11.47 0 0
  575 11.49 0 0
  576 11.51 0 0
  577 11.53 0 0
  578 11.55 0 0
  579 11.57 0 0
  580 11.59 0 0
  581 11.61 0 0
  582 11.63 0 0
  583 11.65 0 0
  584 11.67 0 0
  585 11.69 0 0
  586 11.71 0 0
  587 11.73 0 0
  588 11.75 0 0
  589 11.77 0 0
  590 11.79 0 0
  591 11.81 0 0
  592 11.83 0 0
  593 11.85 0 0
  594 11.87 0 0
  595 11.89 0 0
  596 11.91 0 0
  597 11.93 0 0
  598 11.95 0 0
  599 11.97 0 0
  600 11.99 0 0
  601 12.01 0 0
  602 12.03 0 0
  603 12.05 0 0
  604 12.07 0 0
  605 12.09 0 0
  606 12.11 0 0
  607 12.13 0 0
  608 12.15 0 0
  609 12.17 0 0
  610 12.19 0 0
  611 12.21 0 0
  612 12.23 0 0
  613 12.25 0 0
  614 12.27 0 0
  615 12.29 0 0
  616 12.31 0 0
  617 12.33 0 0
  618 12.35 0 0
  619 12.37 0 0
  620 12.39 0 0
  621 12.41 0 0
  622 12.43 0 0
  623 12.45 0 0
  624 12.47 0 0
  625 12.49 0 0
  626 12.51 0 0
  627 12.53 0 0
  628 12.55 0 0
  629 12.57 0 0
  630 12.59 0 0
  631 12.61 0 0
  632 12.63 0 0
  633 12.65 0 0
  634 12.67 0 0
  635 12.69 0 0
  636 12.71 0 0
  637 12.73 0 0
  638 12.75 0 0
  639 12.77 0 0
  640 12.79 0 0
  641 12.81 0 0
  642 12.83 0 0
  643 12.85 0 0
  644 12.87 0 0
  645 12.89 0 0
  646 12.91 0 0
  647 12.93 0 0
  648 12.95 0 0
  649 12.97 0 0
  650 12.99 0 0
  651 13.01 0 0
  652 13.03 0 0
  653 13.05 0 0
  654 13.07 0 0
  655 13.09 0 0
  656 13.11 0 0
  657 13.13 0 0
  658 13.15 0 0
  659 13.17 0 0
  660 13.19 0 0
  661 13.21 0 0
  662 13.23 0 0
  663 13.25 0 0
  664 13.27 0 0
  665 13.29 0 0
  666 13.31 0 0
  667 13.33 0 0
  668 13.35 0 0
  669 13.37 0 0
  670 13.39 0 0
  671 13.41 0 0
  672 13.43 0 0
  673 13.45 0 0
  674 13.47 0 0
  675 13.49 0 0
  676 13.51 0 0
  677 13.53 0 0
  678 13.55 0 0
  679 13.57 0 0
  680 13.59 0 0
  681 13.61 0 0
  682 13.63 0 0
  683 13.65 0 0
  684 13.67 0 0
  685 13.69 0 0
  686 13.71 0 0
  687 13.73 0 0
  688 13.75 0 0
  689 13.77 0 0
  690 13.79 0 0
  691 13.81 0 0
  692 13.83 0 0
  693 13.85 0 0
  694 13.87 0 0
  695 13.89 0 0
  696 13.91 0 0
  697 13.93 0 0
  698 13.95 0 0
  699 13.97 0 0
  700 13.99 0 0
  701 14.01 0 0
  702 14.03 0 0
  703 14.05 0 0
  704 14.07 0 0
  705 14.09 0 0
  706 14.11 0 0
  707 14.13 0 0
  708 14.15 0 0
  709 14.17 0 0
  710 14.19 0 0
  711 14.21 0 0
  712 14.23 0 0
  713 14.25 0 0
  714 14.27 0 0
  715 14.29 0 0
  716 14.31 0 0
  717 14.33 0 0
  718 14.35 0 0
  719 14.37 0 0
  720 14.39 0 0
  721 14.41 0 0
  722 14.43 0 0
  723 14.45 0 0
  724 14.47 0 0
  725 14.49 0 0
  726 14.51 0 0
  727 14.53 0 0
  728 14.55 0 0
  729 14.57 0 0
  730 14.59 0 0
  731 14.61 0 0
  732 14.63 0 0
  733 14.65 0 0
  734 14.67 0 0
  735 14.69 0 0
  736 14.71 0 0
  737 14.73 0 0
  738 14.75 0 0
  739 14.77 0 0
  740 14.79 0 0
  741 14.81 0 0
  742 14.83 0 0
  743 14.85 0 0
  744 14.87 0 0
  745 14.89 0 0
  746 14.91 0 0
  747 14.93 0 0
  748 14.95 0 0
  749 14.97 0 0
  750 14.99 0 0
  751 15.01 0 0
  752 15.03 0 0
  753 15.05 0 0
  754 15.07 0 0
  755 15.09 0 0
  756 15.11 0 0
  757 15.13 0 0
  758 15.15 0 0
  759 15.17 0 0
  760 15.19 0 0
  761 15.21 0 0
  762 15.23 0 0
  763 15.25 0 0
  764 15.27 0 0
  765 15.29 0 0
  766 15.31 0 0
  767 15.33 0 0
  768 15.35 0 0
  769 15.37 0 0
  770 15.39 0 0
  771 15.41 0 0
  772 15.43 0 0
  773 15.45 0 0
  774 15.47 0 0
  775 15.49 0 0
  776 15.51 0 0
  777 15.53 0 0
  778 15.55 0 0
  779 15.57 0 0
  780 15.59 0 0
  781 15.61 0 0
  782 15.63 0 0
  783 15.65 0 0
  784 15.67 0 0
  785 15.69 0 0
  786 15.71 0 0
  787 15.73 0 0
  788 15.75 0 0
  789 15.77 0 0
  790 15.79 0 0
  791 15.81 0 0
  792 15.83 0 0
  793 15.85 0 0
  794 15.87 0 0
  795 15.89 0 0
  796 15.91 0 0
  797 15.93 0 0
  798 15.95 0 0
  799 15.97 0 0
  800 15.99 0 0
  801 16.01 0 0
  802 16.03 0 0
  803 16.05 0 0
  804 16.07 0 0
  805 16.09 0 0
  806 16.11 0 0
  807 16.13 0 0
  808 16.15 0 0
  809 16.17 0 0
  810 16.19 0 0
  811 16.21 0 0
  812 16.23 0 0
  813 16.25 0 0
  814 16.27 0 0
  815 16.29 0 0
  816 16.31 0 0
  817 16.33 0 0
  818 16.35 0 0
  819 16.37 0 0
  820 16.39 0 0
  821 16.41 0 0
  822 16.43 0 0
  823 16.45 0 0
  824 16.47 0 0
  825 16.49 0 0
  826 16.51 0 0
  827 16.53 0 0
  828 16.55 0 0
  829 16.57 0 0
  830 16.59 0 0
  831 16.61 0 0
  832 16.63 0 0
  833 16.65 0 0
  834 16.67 0 0
  835 16.69 0 0
  836 16.71 0 0
  837 16.73 0 0
  838 16.75 0 0
  839 16.77 0 0
  840 16.79 0 0
  841 16.81 0 0
  842 16.83 0 0
  843 16.85 0 0
  844 16.87 0 0
  845 16.89 0 0
  846 16.91 0 0
  847 16.93 0 0
  848 16.95 0 0
  849 16.97 0 0
  850 16.99 0 0
  851 17.01 0 0
  852 17.03 0 0
  853 17.05 0 0
  854 17.07 0 0
  855 17.09 0 0
  856 17.11 0 0
  857 17.13 0 0
  858 17.15 0 0
  859 17.17 0 0
  860 17.19 0 0
  861 17.21 0 0
  862 17.23 0 0
  863 17.25 0 0
  864 17.27 0 0
  865 17.29 0 0
  866 17.31 0 0
  867 17.33 0 0
  868 17.35 0 0
  869 17.37 0 0
  870 17.39 0 0
  871 17.41 0 0
  872 17.43 0 0
  873 17.45 0 0
  874 17.47 0 0
  875 17.49 0 0
  876 17.51 0 0
  877 17.53 0 0
  878 17.55 0 0
  879 17.57 0 0
  880 17.59 0 0
  881 17.61 0 0
  882 17.63 0 0
  883 17.65 0 0
  884 17.67 0 0
  885 17.69 0 0
  886 17.71 0 0
  887 17.73 0 0
  888 17.75 0 0
  889 17.77 0 0
  890 17.79 0 0
  891 17.81 0 0
  892 17.83 0 0
  893 17.85 0 0
  894 17.87 0 0
  895 17.89 0 0
  896 17.91 0 0
  897 17.93 0 0
  898 17.95 0 0
  899 17.97 0 0
  900 17.99 0 0
  901 18.01 0 0
  902 18.03 0 0
  903 18.05 0 0
  904 18.07 0 0
  905 18.09 0 0
  906 18.11 0 0
  907 18.13 0 0
  908 18.15 0 0
  909 18.17 0 0
  910 18.19 0 0
  911 18.21 0 0
  912 18.23 0 0
  913 18.25 0 0
  914 18.27 0 0
  915 18.29 0 0
  916 18.31 0 0
  917 18.33 0 0
  918 18.35 0 0
  919 18.37 0 0
  920 18.39 0 0
  921 18.41 0 0
  922 18.43 0 0
  923 18.45 0 0
  924 18.47 0 0
  925 18.49 0 0
  926 18.51 0 0
  927 18.53 0 0
  928 18.55 0 0
  929 18.57 0 0
  930 18.59 0 0
  931 18.61 0 0
  932 18.63 0 0
  933 18.65 0 0
  934 18.67 0 0
  935 18.69 0 0
  936 18.71 0 0
  937 18.73 0 0
  938 18.75 0 0
  939 18.77 0 0
  940 18.79 0 0
  941 18.81 0 0
  942 18.83 0 0
  943 18.85 0 0
  944 18.87 0 0
  945 18.89 0 0
  946 18.91 0 0
  947 18.93 0 0
  948 18.95 0 0
  949 18.97 0 0
  950 18.99 0 0
  951 19.01 0 0
  952 19.03 0 0
  953 19.05 0 0
  954 19.07 0 0
  955 19.09 0 0
  956 19.11 0 0
  957 19.13 0 0
  958 19.15 0 0
  959 19.17 0 0
  960 19.19 0 0
  961 19.21 0 0
  962 19.23 0 0
  963 19.25 0 0
  964 19.27 0 0
  965 19.29 0 0
  966 19.31 0 0
  967 19.33 0 0
  968 19.35 0 0
  969 19.37 0 0
  970 19.39 0 0
  971 19.41 0 0
  972 19.43 0 0
  973 19.45 0 0
  974 19.47 0 0
  975 19.49 0 0
  976 19.51 0 0
  977 19.53 0 0
  978 19.55 0 0
  979 19.57 0 0
  980 19.59 0 0
  981 19.61 0 0
  982 19.63 0 0
  983 19.65 0 0
  984 19.67 0 0
  985 19.69 0 0
  986 19.71 0 0
  987 19.73 0 0
  988 19.75 0 0
  989 19.77 0 0
  990 19.79 0 0
  991 19.81 0 0
  992 19.83 0 0
  993 19.85 0 0
  994 19.87 0 0
  995 19.89 0 0
  996 19.91 0 0
  997 19.93 0 0
  998 19.95 0 0
  999 19.97 0 0
  1000 19.99 0 0
  1001 20.01 0 0
  1002 20.03 0 0
  1003 20.05 0 0
  1004 20.07 0 0
  1005 20.09 0 0
  1006 20.11 0 0
  1007 20.13 0 0
  1008 20.15 0 0
  1009 20.17 0 0
  1010 20.19 0 0
  1011 20.21 0 0
  1012 20.23 0 0
  1013 20.25 0 0
  1014 20.27 0 0
  1015 20.29 0 0
  1016 20.31 0 0
  1017 20.33 0 0
  1018 20.35 0 0
  1019 20.37 0 0
  1020 20.39 0 0
  1021 20.41 0 0
  1022 20.43 0 0
  1023 20.45 0 0
  1024 20.47 0 0
  1025 20.49 0 0
  1026 20.51 0 0
  1027 20.53 0 0
  1028 20.55 0 0
  1029 20.57 0 0
  1030 20.59 0 0
  1031 20.61 0 0
  1032 20.63 0 0
  1033 20.65 0 0
  1034 20.67 0 0
  1035 20.69 0 0
  1036 20.71 0 0
  1037 20.73 0 0
  1038 20.75 0 0
  1039 20.77 0 0
  1040 20.79 0 0
  1041 20.81 0 0
  1042 20.83 0 0
  1043 20.85 0 0
  1044 20.87 0 0
  1045 20.89 0 0
  1046 20.91 0 0
  1047 20.93 0 0
  1048 20.95 0 0
  1049 20.97 0 0
  1050 20.99 0 0
  1051 21.01 0 0
  1052 21.03 0 0
  1053 21.05 0 0
  1054 21.07 0 0
  1055 21.09 0 0
  1056 21.11 0 0
  1057 21.13 0 0
  1058 21.15 0 0
  1059 21.17 0 0
  1060 21.19 0 0
  1061 21.21 0 0
  1062 21.23 0 0
  1063 21.25 0 0
  1064 21.27 0 0
  1065 21.29 0 0
  1066 21.31 0 0
  1067 21.33 0 0
  1068 21.35 0 0
  1069 21.37 0 0
  1070 21.39 0 0
  1071 21.41 0 0
  1072 21.43 0 0
  1073 21.45 0 0
  1074 21.47 0 0
  1075 21.49 0 0
  1076 21.51 0 0
  1077 21.53 0 0
  1078 21.55 0 0
  1079 21.57 0 0
  1080 21.59 0 0
  1081 21.61 0 0
  1082 21.63 0 0
  1083 21.65 0 0
  1084 21.67 0 0
  1085 21.69 0 0
  1086 21.71 0 0
  1087 21.73 0 0
  1088 21.75 0 0
  1089 21.77 0 0
  1090 21.79 0 0
  1091 21.81 0 0
  1092 21.83 0 0
  1093 21.85 0 0
  1094 21.87 0 0
  1095 21.89 0 0
  1096 21.91 0 0
  1097 21.93 0 0
  1098 21.95 0 0
  1099 21.97 0 0
  1100 21.99 0 0
  1101 22.01 0 0
  1102 22.03 0 0
  1103 22.05 0 0
  1104 22.07 0 0
  1105 22.09 0 0
  1106 22.11 0 0
  1107 22.13 0 0
  1108 22.15 0 0
  1109 22.17 0 0
  1110 22.19 0 0
  1111 22.21 0 0
  1112 22.23 0 0
  1113 22.25 0 0
  1114 22.27 0 0
  1115 22.29 0 0
  1116 22.31 0 0
  1117 22.33 0 0
  1118 22.35 0 0
  1119 22.37 0 0
  1120 22.39 0 0
  1121 22.41 0 0
  1122 22.43 0 0
  1123 22.45 0 0
  1124 22.47 0 0
  1125 22.49 0 0
  1126 22.51 0 0
  1127 22.53 0 0
  1128 22.55 0 0
  1129 22.57 0 0
  1130 22.59 0 0
  1131 22.61 0 0
  1132 22.63 0 0
  1133 22.65 0 0
  1134 22.67 0 0
  1135 22.69 0 0
  1136 22.71 0 0
  1137 22.73 0 0
  1138 22.75 0 0
  1139 22.77 0 0
  1140 22.79 0 0
  1141 22.81 0 0
  1142 22.83 0 0
  1143 22.85 0 0
  1144 22.87 0 0
  1145 22.89 0 0
  1146 22.91 0 0
  1147 22.93 0 0
  1148 22.95 0 0
  1149 22.97 0 0
  1150 22.99 0 0
  1151 23.01 0 0
  1152 23.03 0 0
  1153 23.05 0 0
  1154 23.07 0 0
  1155 23.09 0 0
  1156 23.11 0 0
  1157 23.13 0 0
  1158 23.15 0 0
  1159 23.17 0 0
  1160 23.19 0 0
  1161 23.21 0 0
  1162 23.23 0 0
  1163 23.25 0 0
  1164 23.27 0 0
  1165 23.29 0 0
  1166 23.31 0 0
  1167 23.33 0 0
  1168 23.35 0 0
  1169 23.37 0 0
  1170 23.39 0 0
  1171 23.41 0 0
  1172 23.43 0 0
  1173 23.45 0 0
  1174 23.47 0 0
  1175 23.49 0 0
  1176 23.51 0 0
  1177 23.53 0 0
  1178 23.55 0 0
  1179 23.57 0 0
  1180 23.59 0 0
  1181 23.61 0 0
  1182 23.63 0 0
  1183 23.65 0 0
  1184 23.67 0 0
  1185 23.69 0 0
  1186 23.71 0 0
  1187 23.73 0 0
  1188 23.75 0 0
  1189 23.77 0 0
  1190 23.79 0 0
  1191 23.81 0 0
  1192 23.83 0 0
  1193 23.85 0 0
  1194 23.87 0 0
  1195 23.89 0 0
  1196 23.91 0 0
  1197 23.93 0 0
  1198 23.95 0 0
  1199 23.97 0 0
  1200 23.99 0 0
  1201 24.01 0 0
  1202 24.03 0 0
  1203 24.05 0 0
  1204 24.07 0 0
  1205 24.09 0 0
  1206 24.11 0 0
  1207 24.13 0 0
  1208 24.15 0 0
  1209 24.17 0 0
  1210 24.19 0 0
  1211 24.21 0 0
  1212 24.23 0 0
  1213 24.25 0 0
  1214 24.27 0 0
  1215 24.29 0 0
  1216 24.31 0 0
  1217 24.33 0 0
  1218 24.35 0 0
  1219 24.37 0 0
  1220 24.39 0 0
  1221 24.41 0 0
  1222 24.43 0 0
  1223 24.45 0 0
  1224 24.47 0 0
  1225 24.49 0 0
  1226 24.51 0 0
  1227 24.53 0 0
  1228 24.55 0 0
  1229 24.57 0 0
  1230 24.59 0 0
  1231 24.61 0 0
  1232 24.63 0 0
  1233 24.65 0 0
  1234 24.67 0 0
  1235 24.69 0 0
  1236 24.71 0 0
  1237 24.73 0 0
  1238 24.75 0 0
